hi	hai
run	lari
run	lari
who	siapa
wow	wow
wow	wah
fire	kebakaran
fire	tembak
fire	api
help	tolong
jump	lompat
jump	loncat
stop	berhenti
wait	tunggu
wait	tunggu
hello	halo
hurry	cepatlah
hurry	cepat
hurry	buruan
i see	aku mengerti
i see	begitu rupanya
i see	aku melihat
i see	oh begitu
i see	saya melihat
i see	aku paham
i won	aku menang
i won	aku menang
oh no	oh tidak
relax	tenanglah
relax	santai
shoot	tembak
smile	senyum
attack	serang
cheers	bersulang
freeze	jangan bergerak
get up	bangunlah
got it	aku mengerti
got it	mengerti
he ran	dia berlari
i know	aku tahu
i know	saya tahu
i lied	aku berbohong
i lied	saya berbohong
i wept	aku menangis
i m	umur saya tahun
i m ok	aku baik baik saja
listen	dengar
listen	dengarkan
no way	tak bisa
no way	tidak mungkin
really	benarkah
really	beneran
thanks	makasih
thanks	terima kasih
thanks	makasih
we try	kami mencoba
why me	kenapa harus saya
ask tom	bertanyalah pada tom
awesome	mengagumkan
awesome	mengagumkan
come in	masuklah
come on	ayo
get out	keluar
go away	pergi
goodbye	sampai jumpa
goodbye	sampai jumpa
he came	dia datang
he left	dia pergi
he runs	dia berlari
help me	tolong aku
help me	tolong aku
hold it	tahan
hold on	tunggu sebentar
i agree	aku setuju
i cried	aku menangis
i smoke	aku merokok
i m sad	saya sedih
i m sad	aku sedih
it s ok	tidak apa apa
it s me	ini aku
it s me	ini aku
kiss me	cium saya
kiss me	cium aku
me too	aku juga
me too	saya juga
perfect	sempurna
see you	sampai jumpa
show me	perlihatkan padaku
show me	perlihatin
shut up	diam
shut up	diamlah
so long	sampai jumpa
tell me	beri tahu aku
tom won	tom menang
wake up	bangun
wake up	bangunlah
wake up	bangunlah
we know	kami tahu
we lied	kita berbohong
we lost	kita kalah
welcome	selamat datang
be still	jangan bergerak
don t go	jangan pergi
get lost	pergi sana
good job	kerja yang bagus
good job	kerja bagus
grab tom	tangkap tom
hi guys	hai kawan kawan
i failed	aku gagal
i forgot	aku lupa
i forgot	saya lupa
i get it	aku mengerti
i got it	aku mengerti
i refuse	aku menolak
i refuse	saya menolak
i smiled	aku tersenyum
i stayed	aku tetap tinggal
i m busy	aku sedang sibuk
i m deaf	aku tuli
i m done	aku sudah selesai
i m dumb	aku bodoh
i m fine	aku baik baik saja
i m glad	saya senang
i m here	aku di sini
i m lazy	saya malas
i m lazy	aku malas
i m lost	saya tersesat
i m okay	aku baik baik saja
it s hot	cuacanya panas
it s hot	itu panas
it s odd	itu aneh
it s odd	ini aneh
it s red	warnanya merah
kiss tom	ciumlah tom
leave me	tinggalkan aku
let s go	ayo
look out	awas
she came	dia datang
she died	dia mati
she left	dia pergi
sit down	duduklah
sit down	duduklah
stand up	berdiri
stand up	berdirilah
terrific	hebat
they won	mereka menang
tom died	tom meninggal
tom lied	tom berbohong
tom lost	tom kalah
tom sang	tom bernyanyi
tom spit	tom meludah
tom wept	tom menangis
